subscription_id,customer_id,plan,contract_type,start_date,end_date,status,monthly_fee,tenure_months
44,44,Basic,Monthly,2024-02-14,2025-02-10,Churned,49,12
45,45,Basic,Monthly,2025-01-09,,Active,49,16
46,46,Premium,Monthly,2025-03-01,,Active,199,15
47,47,Enterprise,Monthly,2025-05-13,,Active,499,12
48,48,Enterprise,Monthly,2025-12-11,,Active,499,5
49,49,Standard,Monthly,2026-05-09,,Active,99,0
50,50,Standard,Monthly,2024-08-15,,Active,99,21
51,51,Standard,Monthly,2024-04-13,,Active,99,25
52,52,Enterprise,Monthly,2024-12-05,,Active,499,18
53,53,Standard,Monthly,2025-01-09,,Active,99,16
54,54,Basic,Monthly,2025-05-19,,Active,49,12
55,55,Basic,Monthly,2024-02-19,2025-08-23,Churned,49,18
56,56,Basic,Monthly,2025-10-20,,Active,49,7
57,57,Basic,Annual,2026-05-15,,Active,49,0
58,58,Premium,Monthly,2026-03-25,,Active,199,2
59,59,Basic,Monthly,2024-04-14,2025-03-25,Churned,49,11
60,60,Basic,Monthly,2024-11-22,,Active,49,18
61,61,Basic,Monthly,2026-02-23,,Active,49,3
62,62,Standard,Monthly,2025-12-27,,Active,99,5
63,63,Basic,Monthly,2026-02-14,,Active,49,3
64,64,Standard,Monthly,2025-02-26,,Active,99,15
65,65,Premium,Monthly,2026-05-07,,Active,199,0
66,66,Basic,Monthly,2024-02-14,2024-04-22,Churned,49,2
67,67,Standard,Monthly,2024-11-27,,Active,99,18
68,68,Basic,Monthly,2024-05-02,,Active,49,25
69,69,Premium,Monthly,2025-08-12,,Active,199,9
70,70,Basic,Annual,2023-11-16,,Active,49,30
71,71,Standard,Annual,2025-08-27,,Active,99,9
72,72,Basic,Monthly,2025-01-14,,Active,49,16
73,73,Standard,Monthly,2023-12-15,,Active,99,29
74,74,Basic,Annual,2025-06-04,,Active,49,12
75,75,Standard,Monthly,2025-04-23,,Active,99,13
76,76,Premium,Monthly,2024-10-07,,Active,199,20
77,77,Standard,Annual,2023-10-11,,Active,99,32
78,78,Premium,Monthly,2024-11-15,,Active,199,18
79,79,Basic,Monthly,2023-12-29,,Active,49,29
80,80,Standard,Monthly,2025-05-19,,Active,99,12
81,81,Premium,Monthly,2024-04-10,,Active,199,26
82,82,Basic,Monthly,2025-10-18,,Active,49,7
83,83,Basic,Monthly,2024-05-04,2024-07-06,Churned,49,2
84,84,Basic,Annual,2023-12-23,,Active,49,29
85,85,Premium,Monthly,2025-07-13,,Active,199,10
86,86,Standard,Monthly,2024-04-10,,Active,99,26
87,87,Premium,Annual,2023-07-28,,Active,199,34
88,88,Basic,Monthly,2025-07-09,,Active,49,10
89,89,Basic,Monthly,2024-01-26,2025-12-10,Churned,49,22
90,90,Standard,Monthly,2026-01-27,,Active,99,4
91,91,Basic,Annual,2025-07-20,,Active,49,10
92,92,Basic,Monthly,2026-01-01,,Active,49,5
93,93,Premium,Monthly,2025-03-21,,Active,199,14
94,94,Enterprise,Monthly,2025-11-20,,Active,499,6
95,95,Premium,Annual,2024-08-14,,Active,199,21
96,96,Basic,Monthly,2026-01-19,,Active,49,4
97,97,Basic,Monthly,2024-06-30,2025-12-25,Churned,49,18
98,98,Basic,Annual,2024-10-22,2025-01-18,Churned,49,2
99,99,Standard,Monthly,2026-01-02,,Active,99,5
100,100,Standard,Monthly,2024-05-11,,Active,99,25
101,101,Enterprise,Monthly,2025-08-05,,Active,499,10
102,102,Basic,Annual,2023-10-14,2025-06-02,Churned,49,19
103,103,Basic,Monthly,2024-10-15,,Active,49,19
104,104,Enterprise,Monthly,2024-10-08,,Active,499,20
105,105,Standard,Monthly,2023-12-16,,Active,99,29
106,106,Basic,Annual,2024-02-14,2024-09-30,Churned,49,7
107,107,Basic,Annual,2023-09-08,,Active,49,33
108,108,Enterprise,Monthly,2024-01-14,,Active,499,28
109,109,Basic,Annual,2024-04-19,2025-07-10,Churned,49,14
110,110,Premium,Monthly,2023-10-12,,Active,199,32
111,111,Premium,Monthly,2025-09-05,,Active,199,8
112,112,Standard,Monthly,2025-03-20,,Active,99,14
113,113,Basic,Monthly,2026-02-01,,Active,49,4
114,114,Premium,Monthly,2025-08-23,,Active,199,9
115,115,Standard,Annual,2026-01-31,,Active,99,4
116,116,Standard,Annual,2025-05-30,,Active,99,12
117,117,Basic,Monthly,2024-12-07,,Active,49,18
118,118,Enterprise,Annual,2023-09-13,,Active,499,33
119,119,Basic,Monthly,2024-12-04,2026-05-20,Churned,49,17
120,120,Basic,Monthly,2026-01-20,,Active,49,4
121,121,Basic,Monthly,2024-11-12,,Active,49,18
122,122,Premium,Annual,2023-08-08,,Active,199,34
123,123,Enterprise,Monthly,2026-05-07,,Active,499,0
124,124,Basic,Monthly,2026-01-18,,Active,49,4
125,125,Enterprise,Monthly,2024-07-27,2025-06-11,Churned,499,10
126,126,Standard,Annual,2025-06-11,,Active,99,11
127,127,Basic,Monthly,2023-11-02,2024-05-21,Churned,49,6
128,128,Standard,Monthly,2025-07-16,2025-09-25,Churned,99,2
129,129,Standard,Monthly,2023-12-27,,Active,99,29
130,130,Basic,Monthly,2026-02-05,,Active,49,3
131,131,Basic,Annual,2024-12-31,2025-10-22,Churned,49,9
132,132,Premium,Monthly,2025-11-18,,Active,199,6
133,133,Basic,Monthly,2024-06-29,,Active,49,23
134,134,Basic,Monthly,2023-08-27,2023-11-21,Churned,49,2
135,135,Basic,Annual,2023-09-09,2025-06-17,Churned,49,21
136,136,Basic,Monthly,2024-07-10,,Active,49,23
137,137,Standard,Monthly,2024-11-20,,Active,99,18
138,138,Premium,Monthly,2026-01-12,,Active,199,4
139,139,Enterprise,Annual,2025-07-01,,Active,499,11
140,140,Premium,Monthly,2025-06-22,,Active,199,11
141,141,Standard,Monthly,2025-12-24,,Active,99,5
142,142,Standard,Monthly,2026-05-18,,Active,99,0
143,143,Standard,Monthly,2024-12-05,,Active,99,18
144,144,Premium,Monthly,2026-04-28,,Active,199,1
145,145,Enterprise,Monthly,2024-02-20,,Active,499,27
146,146,Basic,Monthly,2024-04-22,2024-12-06,Churned,49,7
147,147,Standard,Annual,2024-06-19,2025-07-21,Churned,99,13
148,148,Basic,Monthly,2023-12-23,2025-08-20,Churned,49,20
149,149,Basic,Monthly,2024-03-28,,Active,49,26
150,150,Basic,Annual,2025-07-22,,Active,49,10
151,151,Basic,Monthly,2025-03-08,2026-01-12,Churned,49,10
152,152,Basic,Monthly,2026-05-15,,Active,49,0
153,153,Basic,Monthly,2025-10-06,,Active,49,7
154,154,Basic,Annual,2025-08-27,,Active,49,9
155,155,Standard,Annual,2023-12-13,2024-01-13,Churned,99,1
156,156,Enterprise,Monthly,2024-04-01,,Active,499,26
157,157,Basic,Annual,2025-01-07,2025-04-10,Churned,49,3
158,158,Standard,Monthly,2025-03-02,,Active,99,15
159,159,Basic,Monthly,2023-07-09,2024-12-10,Churned,49,17
160,160,Premium,Monthly,2024-05-12,2024-09-05,Churned,199,3
161,161,Basic,Annual,2025-12-31,,Active,49,5
162,162,Standard,Annual,2025-09-17,,Active,99,8
163,163,Premium,Monthly,2026-05-12,,Active,199,0
164,164,Standard,Monthly,2024-05-11,,Active,99,25
165,165,Basic,Annual,2026-01-08,,Active,49,4
166,166,Basic,Monthly,2025-03-02,,Active,49,15
167,167,Basic,Monthly,2026-01-17,,Active,49,4
168,168,Premium,Monthly,2025-09-10,,Active,199,8
169,169,Basic,Monthly,2026-05-16,,Active,49,0
170,170,Basic,Monthly,2025-04-30,2025-09-16,Churned,49,4
171,171,Standard,Monthly,2024-06-21,,Active,99,23
172,172,Standard,Monthly,2025-06-27,,Active,99,11
173,173,Basic,Annual,2023-09-09,,Active,49,33
174,174,Basic,Monthly,2026-04-21,,Active,49,1
175,175,Basic,Annual,2024-02-26,,Active,49,27
176,176,Basic,Annual,2024-11-04,,Active,49,19
177,177,Enterprise,Monthly,2023-10-17,,Active,499,31
178,178,Enterprise,Annual,2024-08-11,,Active,499,21
179,179,Basic,Monthly,2023-06-29,,Active,49,35
180,180,Standard,Monthly,2025-07-27,,Active,99,10
181,181,Standard,Monthly,2025-07-05,,Active,99,11
182,182,Enterprise,Monthly,2025-01-06,,Active,499,17
183,183,Basic,Annual,2026-05-08,,Active,49,0
184,184,Basic,Monthly,2025-10-14,2026-05-21,Churned,49,7
185,185,Standard,Annual,2023-09-07,,Active,99,33
186,186,Standard,Annual,2024-07-31,,Active,99,22
187,187,Standard,Monthly,2026-03-28,,Active,99,2
188,188,Basic,Monthly,2024-09-08,,Active,49,21
189,189,Enterprise,Monthly,2025-12-07,,Active,499,5
190,190,Basic,Monthly,2025-12-15,,Active,49,5
191,191,Basic,Monthly,2023-08-25,2023-10-01,Churned,49,1
192,192,Standard,Monthly,2024-12-24,,Active,99,17
193,193,Standard,Monthly,2025-04-18,,Active,99,13
194,194,Standard,Monthly,2023-09-12,,Active,99,33
195,195,Premium,Annual,2025-01-26,,Active,199,16
196,196,Premium,Annual,2024-10-10,,Active,199,19
197,197,Standard,Monthly,2025-10-22,,Active,99,7
198,198,Standard,Annual,2024-11-22,2025-11-21,Churned,99,12
199,199,Standard,Monthly,2025-12-12,,Active,99,5
200,200,Enterprise,Monthly,2026-02-17,,Active,499,3
201,201,Basic,Monthly,2024-05-19,2024-10-07,Churned,49,4
202,202,Basic,Monthly,2025-12-25,,Active,49,5
203,203,Standard,Annual,2023-11-21,,Active,99,30
204,204,Premium,Monthly,2026-03-08,,Active,199,2
205,205,Standard,Monthly,2025-06-07,,Active,99,11
206,206,Standard,Annual,2026-02-12,,Active,99,3
207,207,Basic,Annual,2025-05-14,,Active,49,12
208,208,Premium,Monthly,2025-09-15,,Active,199,8
209,209,Basic,Monthly,2024-12-21,,Active,49,17
210,210,Standard,Annual,2026-02-07,,Active,99,3
211,211,Standard,Monthly,2023-11-03,,Active,99,31
212,212,Enterprise,Monthly,2024-01-25,,Active,499,28
213,213,Standard,Annual,2023-08-15,,Active,99,34
214,214,Standard,Monthly,2024-04-22,,Active,99,25
215,215,Premium,Annual,2024-02-16,,Active,199,27
216,216,Basic,Monthly,2023-07-12,,Active,49,35
217,217,Standard,Monthly,2024-08-25,,Active,99,21
218,218,Standard,Monthly,2024-10-02,,Active,99,20
219,219,Standard,Annual,2024-03-19,,Active,99,26
220,220,Premium,Annual,2024-12-23,,Active,199,17
221,221,Premium,Monthly,2025-10-25,,Active,199,7
222,222,Enterprise,Monthly,2023-12-07,,Active,499,30
223,223,Premium,Monthly,2025-02-28,,Active,199,15
224,224,Standard,Annual,2023-09-28,,Active,99,32
225,225,Standard,Monthly,2024-04-28,,Active,99,25
226,226,Standard,Monthly,2024-05-13,2025-04-29,Churned,99,11
227,227,Basic,Annual,2025-01-14,,Active,49,16
228,228,Standard,Annual,2024-07-09,2025-07-31,Churned,99,12
229,229,Premium,Monthly,2023-07-07,2024-07-02,Churned,199,12
230,230,Standard,Monthly,2025-11-04,,Active,99,6
231,231,Standard,Monthly,2025-09-02,2025-10-17,Churned,99,1
232,232,Premium,Monthly,2026-03-15,,Active,199,2
233,233,Basic,Annual,2026-01-20,,Active,49,4
234,234,Standard,Monthly,2025-07-18,,Active,99,10
235,235,Basic,Annual,2024-03-22,2024-10-11,Churned,49,6
236,236,Standard,Annual,2024-11-18,,Active,99,18
237,237,Basic,Monthly,2024-10-10,,Active,49,19
238,238,Standard,Monthly,2025-08-17,,Active,99,9
239,239,Premium,Monthly,2025-12-08,,Active,199,5
240,240,Basic,Annual,2025-11-22,,Active,49,6
241,241,Premium,Monthly,2025-12-19,,Active,199,5
242,242,Premium,Annual,2025-06-10,,Active,199,11
243,243,Basic,Monthly,2026-01-02,,Active,49,5
244,244,Enterprise,Monthly,2025-03-10,,Active,499,14
245,245,Standard,Monthly,2025-07-29,2025-09-09,Churned,99,1
246,246,Standard,Monthly,2023-11-04,,Active,99,31
247,247,Standard,Annual,2023-12-30,,Active,99,29
248,248,Basic,Monthly,2024-01-21,2025-08-24,Churned,49,19
249,249,Standard,Annual,2026-02-12,,Active,99,3
250,250,Standard,Monthly,2024-05-08,2024-11-30,Churned,99,6
251,251,Premium,Monthly,2023-11-03,,Active,199,31
252,252,Standard,Monthly,2025-03-30,,Active,99,14
253,253,Basic,Monthly,2025-12-20,,Active,49,5
254,254,Basic,Annual,2023-09-24,2025-02-04,Churned,49,16
255,255,Enterprise,Monthly,2025-06-08,,Active,499,11
256,256,Premium,Monthly,2023-07-16,,Active,199,35
257,257,Premium,Annual,2025-09-09,,Active,199,8
258,258,Premium,Annual,2026-03-03,,Active,199,3
259,259,Basic,Monthly,2024-10-13,2025-10-13,Churned,49,12
260,260,Basic,Monthly,2026-01-18,,Active,49,4
261,261,Enterprise,Annual,2025-02-11,2025-06-21,Churned,499,4
262,262,Enterprise,Monthly,2025-12-20,,Active,499,5
263,263,Basic,Monthly,2024-12-30,2025-09-26,Churned,49,9
264,264,Basic,Monthly,2025-10-22,,Active,49,7
265,265,Premium,Monthly,2024-08-14,,Active,199,21
266,266,Basic,Monthly,2024-04-09,2024-12-07,Churned,49,8
267,267,Standard,Monthly,2024-07-28,,Active,99,22
268,268,Basic,Annual,2025-03-06,2025-12-21,Churned,49,9
269,269,Basic,Annual,2025-03-20,,Active,49,14
270,270,Premium,Monthly,2024-05-27,,Active,199,24
271,271,Premium,Monthly,2025-11-02,,Active,199,7
272,272,Basic,Monthly,2024-05-06,2026-01-14,Churned,49,20
273,273,Standard,Annual,2023-10-27,,Active,99,31
274,274,Basic,Annual,2025-03-12,,Active,49,14
275,275,Standard,Annual,2023-08-25,,Active,99,33
276,276,Premium,Monthly,2025-12-11,,Active,199,5
277,277,Premium,Annual,2025-06-13,,Active,199,11
278,278,Premium,Monthly,2025-05-28,,Active,199,12
279,279,Basic,Monthly,2023-08-03,2024-09-23,Churned,49,13
280,280,Enterprise,Annual,2024-02-19,2024-04-17,Churned,499,1
281,281,Basic,Monthly,2024-07-27,,Active,49,22
282,282,Premium,Monthly,2025-07-30,,Active,199,10
283,283,Enterprise,Monthly,2024-07-18,2026-04-11,Churned,499,21
284,284,Premium,Monthly,2024-01-17,,Active,199,28
285,285,Basic,Monthly,2025-07-16,2026-02-03,Churned,49,6
286,286,Enterprise,Monthly,2025-12-18,,Active,499,5
287,287,Standard,Monthly,2025-06-19,,Active,99,11
288,288,Premium,Monthly,2024-06-06,,Active,199,24
289,289,Standard,Annual,2024-05-15,,Active,99,24
290,290,Enterprise,Monthly,2025-06-29,,Active,499,11
291,291,Basic,Annual,2023-06-22,2023-11-02,Churned,49,4
292,292,Basic,Monthly,2024-10-12,,Active,49,19
293,293,Enterprise,Monthly,2024-01-10,2025-07-28,Churned,499,18
294,294,Premium,Monthly,2024-05-27,2025-03-24,Churned,199,10
295,295,Premium,Annual,2025-05-05,,Active,199,13
296,296,Standard,Monthly,2024-06-11,,Active,99,24
297,297,Standard,Annual,2024-03-12,,Active,99,27
298,298,Basic,Monthly,2025-06-07,,Active,49,11
299,299,Premium,Monthly,2024-11-21,,Active,199,18
300,300,Standard,Monthly,2024-02-26,,Active,99,27
301,301,Premium,Monthly,2025-11-24,,Active,199,6
302,302,Standard,Annual,2025-03-01,,Active,99,15
303,303,Standard,Annual,2023-10-21,,Active,99,31
304,304,Standard,Monthly,2025-06-09,,Active,99,11
305,305,Premium,Monthly,2024-10-17,,Active,199,19
306,306,Standard,Annual,2024-11-16,,Active,99,18
307,307,Basic,Annual,2024-12-14,,Active,49,17
308,308,Basic,Annual,2024-08-20,2025-12-22,Churned,49,16
309,309,Basic,Annual,2024-06-15,,Active,49,23
310,310,Standard,Annual,2024-04-12,,Active,99,26
311,311,Enterprise,Monthly,2023-10-27,,Active,499,31
312,312,Standard,Annual,2026-01-15,,Active,99,4
313,313,Standard,Annual,2026-02-14,,Active,99,3
314,314,Standard,Annual,2023-09-06,,Active,99,33
315,315,Basic,Monthly,2024-12-20,2026-04-09,Churned,49,15
316,316,Standard,Annual,2025-12-18,2026-04-21,Churned,99,4
317,317,Basic,Monthly,2023-10-13,,Active,49,32
318,318,Premium,Annual,2025-05-11,,Active,199,12
319,319,Standard,Monthly,2023-10-19,2024-01-17,Churned,99,3
320,320,Standard,Annual,2025-02-27,,Active,99,15
321,321,Standard,Annual,2026-02-04,,Active,99,3
322,322,Basic,Monthly,2023-08-24,2023-10-29,Churned,49,2
323,323,Standard,Annual,2024-10-29,,Active,99,19
324,324,Enterprise,Annual,2025-10-15,,Active,499,7
325,325,Standard,Annual,2023-10-06,,Active,99,32
326,326,Basic,Annual,2025-11-01,,Active,49,7
327,327,Premium,Monthly,2025-07-11,,Active,199,10
328,328,Standard,Monthly,2024-04-04,,Active,99,26
329,329,Basic,Annual,2023-10-23,,Active,49,31
330,330,Basic,Monthly,2025-11-10,,Active,49,6
331,331,Standard,Monthly,2025-01-27,,Active,99,16
332,332,Basic,Monthly,2026-01-23,,Active,49,4
333,333,Standard,Annual,2025-12-15,,Active,99,5
334,334,Enterprise,Monthly,2024-05-03,,Active,499,25
335,335,Basic,Monthly,2025-11-30,,Active,49,6
336,336,Basic,Monthly,2026-01-25,2026-05-24,Churned,49,3
337,337,Standard,Monthly,2023-10-12,,Active,99,32
338,338,Standard,Monthly,2023-07-12,,Active,99,35
339,339,Basic,Monthly,2024-12-04,2025-12-02,Churned,49,12
340,340,Standard,Monthly,2024-03-26,,Active,99,26
341,341,Basic,Annual,2025-08-22,,Active,49,9
342,342,Premium,Annual,2026-01-31,,Active,199,4
343,343,Premium,Annual,2025-11-15,,Active,199,6
344,344,Standard,Monthly,2023-08-11,2023-12-02,Churned,99,3
345,345,Basic,Annual,2025-02-27,,Active,49,15
346,346,Standard,Monthly,2026-04-03,,Active,99,1
347,347,Standard,Monthly,2024-04-24,,Active,99,25
348,348,Basic,Monthly,2025-03-29,,Active,49,14
349,349,Basic,Monthly,2025-03-02,,Active,49,15
350,350,Basic,Monthly,2025-01-03,,Active,49,17
351,351,Standard,Annual,2024-08-10,,Active,99,22
352,352,Standard,Annual,2025-03-26,2025-10-14,Churned,99,6
353,353,Basic,Annual,2025-05-01,,Active,49,13
354,354,Basic,Monthly,2024-11-15,,Active,49,18
355,355,Premium,Monthly,2025-10-15,,Active,199,7
356,356,Standard,Monthly,2025-03-15,,Active,99,14
357,357,Premium,Monthly,2024-04-19,2026-03-11,Churned,199,23
358,358,Basic,Monthly,2025-01-17,2025-11-03,Churned,49,9
359,359,Premium,Monthly,2025-06-08,2025-10-15,Churned,199,4
360,360,Premium,Monthly,2025-05-17,2026-05-07,Churned,199,11
361,361,Standard,Annual,2025-02-18,,Active,99,15
362,362,Basic,Monthly,2025-02-08,2025-03-17,Churned,49,1
363,363,Standard,Monthly,2025-02-17,,Active,99,15
364,364,Standard,Monthly,2025-08-07,,Active,99,9
365,365,Standard,Monthly,2025-01-16,,Active,99,16
366,366,Standard,Annual,2025-02-20,,Active,99,15
367,367,Basic,Monthly,2025-10-26,,Active,49,7
368,368,Standard,Monthly,2026-01-25,,Active,99,4
369,369,Basic,Annual,2024-09-17,,Active,49,20
370,370,Basic,Monthly,2026-01-12,,Active,49,4
371,371,Premium,Annual,2025-01-29,,Active,199,16
372,372,Standard,Monthly,2025-06-17,,Active,99,11
373,373,Standard,Annual,2026-04-07,,Active,99,1
374,374,Standard,Monthly,2023-09-02,2025-02-26,Churned,99,18
375,375,Basic,Monthly,2025-08-02,2026-01-10,Churned,49,5
376,376,Enterprise,Annual,2024-06-12,,Active,499,23
377,377,Standard,Monthly,2023-12-13,,Active,99,30
378,378,Premium,Monthly,2024-05-13,,Active,199,24
379,379,Premium,Annual,2025-02-22,,Active,199,15
380,380,Basic,Monthly,2023-06-27,2024-01-06,Churned,49,6
381,381,Basic,Monthly,2025-03-18,2026-02-26,Churned,49,11
382,382,Basic,Monthly,2023-07-27,2024-10-18,Churned,49,14
383,383,Basic,Annual,2025-01-30,,Active,49,16
384,384,Premium,Monthly,2025-10-12,,Active,199,7
385,385,Standard,Monthly,2024-01-04,,Active,99,29
386,386,Basic,Monthly,2024-09-01,2025-01-09,Churned,49,4
387,387,Standard,Monthly,2024-05-18,,Active,99,24
388,388,Basic,Monthly,2024-03-13,,Active,49,27
389,389,Premium,Annual,2024-03-11,,Active,199,27
390,390,Premium,Monthly,2024-12-30,,Active,199,17
391,391,Premium,Monthly,2024-12-15,,Active,199,17
392,392,Enterprise,Annual,2024-02-10,,Active,499,28
393,393,Standard,Monthly,2025-10-20,,Active,99,7
394,394,Standard,Monthly,2025-10-20,,Active,99,7
395,395,Basic,Annual,2025-08-24,,Active,49,9
396,396,Enterprise,Monthly,2024-09-18,,Active,499,20
397,397,Basic,Monthly,2025-05-17,,Active,49,12
398,398,Standard,Monthly,2023-11-20,,Active,99,30
399,399,Premium,Monthly,2026-04-03,,Active,199,1
400,400,Basic,Monthly,2025-06-12,2026-01-26,Churned,49,7
401,401,Standard,Monthly,2024-05-02,,Active,99,25
402,402,Standard,Monthly,2023-12-30,,Active,99,29
403,403,Standard,Monthly,2025-06-08,,Active,99,11
404,404,Premium,Annual,2026-03-11,,Active,199,2
405,405,Basic,Annual,2026-03-15,,Active,49,2
406,406,Basic,Monthly,2025-04-05,,Active,49,14
407,407,Standard,Monthly,2024-09-11,,Active,99,20
408,408,Basic,Monthly,2025-03-18,2025-07-18,Churned,49,4
409,409,Standard,Monthly,2025-09-16,,Active,99,8
410,410,Premium,Monthly,2026-05-05,,Active,199,0
411,411,Standard,Monthly,2025-11-04,2026-02-13,Churned,99,3
412,412,Basic,Monthly,2023-07-18,,Active,49,34
413,413,Basic,Annual,2025-10-29,,Active,49,7
414,414,Basic,Annual,2023-12-29,2024-10-25,Churned,49,10
415,415,Standard,Monthly,2025-10-06,,Active,99,7
416,416,Basic,Monthly,2025-10-04,2025-11-18,Churned,49,1
417,417,Premium,Monthly,2024-09-10,,Active,199,20
418,418,Basic,Monthly,2024-07-19,,Active,49,22
419,419,Basic,Monthly,2025-10-27,,Active,49,7
420,420,Basic,Monthly,2023-07-18,,Active,49,34
421,421,Premium,Monthly,2025-03-07,,Active,199,15
422,422,Basic,Monthly,2023-12-17,2025-03-16,Churned,49,15
423,423,Premium,Monthly,2026-04-26,,Active,199,1
424,424,Basic,Monthly,2024-11-11,2025-06-09,Churned,49,7
425,425,Basic,Annual,2023-07-27,2025-06-19,Churned,49,23
426,426,Basic,Monthly,2023-10-15,2025-04-27,Churned,49,18
427,427,Basic,Annual,2025-05-09,2026-01-11,Churned,49,8
428,428,Standard,Annual,2025-02-11,,Active,99,15
429,429,Basic,Monthly,2026-04-25,,Active,49,1
430,430,Premium,Monthly,2024-10-26,,Active,199,19
431,431,Basic,Annual,2024-07-06,2025-10-11,Churned,49,15
432,432,Standard,Monthly,2024-08-03,,Active,99,22
433,433,Standard,Annual,2023-10-12,,Active,99,32
434,434,Basic,Annual,2026-03-15,,Active,49,2
435,435,Standard,Monthly,2024-10-01,,Active,99,20
436,436,Basic,Monthly,2024-05-31,2025-10-10,Churned,49,16
437,437,Premium,Annual,2024-09-15,,Active,199,20
438,438,Basic,Monthly,2024-08-11,2025-01-13,Churned,49,5
439,439,Basic,Monthly,2025-05-01,,Active,49,13
440,440,Basic,Annual,2024-09-11,,Active,49,20
441,441,Basic,Monthly,2024-06-17,,Active,49,23
442,442,Basic,Monthly,2025-11-13,,Active,49,6
443,443,Premium,Monthly,2023-07-05,,Active,199,35
444,444,Basic,Annual,2025-02-15,,Active,49,15
445,445,Basic,Annual,2024-03-26,,Active,49,26
446,446,Basic,Annual,2024-12-26,,Active,49,17
447,447,Basic,Monthly,2026-05-19,,Active,49,0
448,448,Standard,Monthly,2023-10-26,,Active,99,31
449,449,Standard,Monthly,2024-03-07,2025-12-10,Churned,99,21
450,450,Standard,Monthly,2024-05-19,2025-05-31,Churned,99,12
451,451,Standard,Monthly,2024-04-12,,Active,99,26
452,452,Standard,Monthly,2023-10-02,2024-10-04,Churned,99,12
453,453,Basic,Annual,2024-11-01,,Active,49,19
454,454,Standard,Monthly,2024-05-29,,Active,99,24
455,455,Basic,Annual,2024-06-29,,Active,49,23
456,456,Basic,Annual,2025-12-21,,Active,49,5
457,457,Premium,Annual,2025-03-12,,Active,199,14
458,458,Standard,Monthly,2023-11-15,,Active,99,30
459,459,Premium,Annual,2024-09-20,,Active,199,20
460,460,Basic,Annual,2024-04-04,,Active,49,26
461,461,Enterprise,Monthly,2024-01-03,,Active,499,29
462,462,Basic,Monthly,2025-12-01,2026-04-23,Churned,49,4
463,463,Premium,Monthly,2025-09-22,,Active,199,8
464,464,Basic,Monthly,2025-01-05,,Active,49,17
465,465,Standard,Monthly,2024-09-27,,Active,99,20
466,466,Basic,Monthly,2025-01-07,,Active,49,17
467,467,Basic,Annual,2024-10-30,,Active,49,19
468,468,Standard,Annual,2024-04-24,2024-11-29,Churned,99,7
469,469,Basic,Monthly,2024-01-07,2024-12-27,Churned,49,11
470,470,Basic,Annual,2025-02-08,2025-11-22,Churned,49,9
471,471,Standard,Annual,2024-10-23,,Active,99,19
472,472,Basic,Annual,2025-10-14,,Active,49,7
473,473,Basic,Annual,2025-08-18,,Active,49,9
